title,price,area,meter_price,num_of_rooms,type_of,age_of,date_of_license,facade_of,Advertiser,date_of_advertising,url
"ارض للبيع في الخبر التحلية
للبيع","1,750 ريال",520,1750,N/A,ارض,N/A,06/09/2025,شرقية,همم الشرق العقارية,26965,https://www.aqarcity.net/property/26965
"شقة للبيع في جدة السلامة
للبيع","650,000 ريال",111.49,650000,4,شقة,جديد,21/04/2025,شرقية,عبد الله الغامدي,25741,https://www.aqarcity.net/property/25741
"شقة للبيع في الرياض العارض
للبيع","1,349,000 ريال",151.33,1349000,3,شقة,جديد,31/07/2025,شمالية شرقية,تركي خالد,26640,https://www.aqarcity.net/property/26640
"ارض للبيع في الخبر الكوثر
للبيع","1,040 ريال",770,1040,N/A,ارض,N/A,11/09/2025,غربية,همم الشرق العقارية,27027,https://www.aqarcity.net/property/27027
"شقة للبيع في جدة السلامة
للبيع","650,000 ريال",111.49,650000,4,شقة,جديد,25/06/2025,N/A,عبدالمجيد احمد المالكي,26445,https://www.aqarcity.net/property/26445
"دور للبيع في خميس مشيط النسيم
للبيع","650,000 ريال",298.66,650000,8,دور,تسع سنوات,01/05/2025,شرقية,شركة الأزد العقارية,25838,https://www.aqarcity.net/property/25838
"للبيع دبلكس بالعواميه - الجامعيين زاويه
للبيع","1,300,000 ريال",259.53,1300000,5,فيلا,جديد,29/01/2025,شمالية شرقية,شركة المدار الواعد,25050,https://www.aqarcity.net/property/25050
"شقة للبيع في جدة النعيم
للبيع","830,000 ريال",150.48,830000,4,شقة,جديد,10/09/2025,N/A,عمار يوسف,27059,https://www.aqarcity.net/property/27059
"مكتب للإيجار في الرياض الملك عبدالعزيز
للايجار","1,000 ريال",3000,1000,150,مكتب,اكثر من عشر سنوات,28/12/2024,N/A,شركة حاضنة الاعمال العقارية,26598,https://www.aqarcity.net/property/26598
"فيلا للبيع في الرياض سدرة
للبيع","1,850,000 ريال",200,1850000,3,فيلا,جديد,09/09/2025,شمالية,شركة مدى التطويرية العقارية,26992,https://www.aqarcity.net/property/26992
"شقة للإيجار في جدة الرياض
للايجار","28,000 ريال",642.34,28000,4,شقة,جديد,28/07/2025,شمالية,شركة برج العقار,26623,https://www.aqarcity.net/property/26623
"إستراحة للإيجار في امارة منطقة مكة المكرمة - الطائف العرج الأسفل
للايجار","12,000 ريال",3952.45,12000,120,إستراحة,ست سنوات,25/06/2025,غربية,شركة ذات العقارية,26336,https://www.aqarcity.net/property/26336
"عمارة للإيجار في ابها الغدير
للايجار","600,000 ريال",700,600000,7,عمارة,جديد,11/08/2025,شمالية,شركة الأزد العقارية,26731,https://www.aqarcity.net/property/26731
"ارض للبيع في منطقة حائل
للبيع",72 ريال,900,72.23,N/A,ارض,N/A,14/04/2025,جنوبية شرقية,مكتب بورصة الاستثمار العقاري,25730,https://www.aqarcity.net/property/25730
"ارض للبيع في بريده الريان
للبيع","1,450 ريال",360,1450,N/A,ارض,N/A,24/05/2025,غربية,بدر العريني,26063,https://www.aqarcity.net/property/26063
"شقَّة صغيرة (استوديو) للإيجار في جدة مريخ
للايجار","1,700 ريال",730.99,1700,1,شقَّة صغيرة (استوديو),جديد,25/06/2025,شرقية,عبدالوهاب حسن,26326,https://www.aqarcity.net/property/26326
"شقة للبيع في جدة الروضة
للبيع","790,000 ريال",127.78,790000,4,شقة,جديد,12/05/2025,N/A,عبدالعزيز حميد حامد الانصارى,26017,https://www.aqarcity.net/property/26017
"شقة للبيع في جدة السلامة
للبيع","640,000 ريال",107.91,640000,4,شقة,جديد,17/09/2025,N/A,عبد المحسن المالكي,27076,https://www.aqarcity.net/property/27076
